"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When request body without new password, /api/v1/account/change-password returns 401.","212","When request body without new password, /api/v1/account/change-password returns 401","Unit Tests","Thu Oct 23 00:19:51 GMT 2025","passed","Thu Oct 23 00:19:51 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutNewPassword"
"When request with empty body, /api/v1/account/recovery-password returns 400.","96","When request with empty body, /api/v1/account/recovery-password returns 400","Unit Tests","Thu Oct 23 00:19:49 GMT 2025","failed","Thu Oct 23 00:19:49 GMT 2025","/api/v1/account/recovery-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$PasswordRecoveryTests","RecoverPasswordWithEmptyBody"
"When request with invalid access token header, /api/v1/auth/login returns 401.","95","When request with invalid access token header , /api/v1/auth/login returns 401","Unit Tests","Thu Oct 23 00:19:48 GMT 2025","passed","Thu Oct 23 00:19:48 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithInvalidToken"
"When request body with wrong email, /api/v1/auth/login returns 401.","318","When request body with wrong email, /api/v1/auth/login returns 401","Unit Tests","Thu Oct 23 00:19:47 GMT 2025","passed","Thu Oct 23 00:19:48 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithWrongEmail"
"When request is valid, /api/v1/auth/refresh returns 200.","1827","When request is valid, /api/v1/auth/refresh returns 200","Unit Tests","Thu Oct 23 00:19:44 GMT 2025","passed","Thu Oct 23 00:19:46 GMT 2025","/api/v1/auth/refresh","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$RefreshTests","TestRefreshSuccess"
"When request body without old password, /api/v1/account/change-password returns 401.","223","When request body without old password, /api/v1/account/change-password returns 401","Unit Tests","Thu Oct 23 00:19:49 GMT 2025","failed","Thu Oct 23 00:19:49 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordWithoutOldPassword"
"When request without access token header, /api/v1/account/me returns 401.","96","When request without access token header, /api/v1/account/me returns 401","Unit Tests","Thu Oct 23 00:19:51 GMT 2025","failed","Thu Oct 23 00:19:51 GMT 2025","/api/v1/account/me","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$AccountMeTests","GetUserAccountInfoWithoutToken"
"When request is valid, /api/v1/account/change-password returns 204 and valid response.","366","When request is valid, /api/v1/account/change-password returns 204 and valid response","Unit Tests","Thu Oct 23 00:19:50 GMT 2025","passed","Thu Oct 23 00:19:50 GMT 2025","/api/v1/account/change-password","Account API Controller Tests","education.kub.backend.ce.domain.user.controller.UserControllerTests$ChangePasswordTests","ChangePasswordSuccess"
"When request with invalid access token, /api/v1/auth/logout returns 401.","109","When request with invalid access token, /api/v1/auth/logout returns 401","Unit Tests","Thu Oct 23 00:19:46 GMT 2025","passed","Thu Oct 23 00:19:46 GMT 2025","/api/v1/auth/logout","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LogoutTests","TestLogoutWithInvalidToken"
"When request with empty body, /api/v1/auth/login returns 400.","230","When request with empty body, /api/v1/auth/login returns 400","Unit Tests","Thu Oct 23 00:19:48 GMT 2025","failed","Thu Oct 23 00:19:48 GMT 2025","/api/v1/auth/login","Auth API Controller Tests","education.kub.backend.ce.domain.auth.controller.AuthControllerTests$LoginTests","TestLoginWithEmptyBody"
